0,BlackScreen,1,,,,,,,,,
0,Sound,Flash,,,,,,,,,
0.1,BlackScreen,0,,,,,,,,,
0,HeartTeleport,3250,30,,,,,,,,
0,CombatZoneResizeInstant,289,334,494,311,,,,,,
0,Platform,6394,342,2334,238,2345,,,,,
0,HeartMode,1,3,,,,,,,,
0,BoneStab,1,34,20.6,5.1,,,,,,
0,GasterBlaster,1.98,10,30,44,100,90,0.5,0.1,0.6666,0.03333
0,CombatZoneResize,239,160,404,391,TLResume,,,,,
0.3,Platform,100,320,60,0,150,,,,,
0.1,GasterBlaster,2340,1122,23,71233,310,0,0.5,0.1,123,321
0.9,Platform,428,285,60,2,150,,,,,
0.1,GasterBlaster,230,123,12,321,23,231,3212,3232,231,232
0.7,Platform,100,250,60,0,150,,,,,
0.1,GasterBlaster,0,0,0,73,235,0,0.5,0.1,,
0.9,Platform,408,200,60,2,150,,,,,
0.1,GasterBlaster,0,0,0,73,180,0,0.5,0.1,,
0.7,Platform,408,240,60,2,150,,,,,
4,BlackScreen,1,,,,,,,,,
0,Sound,Flash,,,,,,,,,
0.1,BlackScreen,0,,,,,,,,,
0,Sound,Flash,,,,,,,,,
0,HeartTeleport,320,375,,,,,,,,
0,BoneV,503,330,100,2,100,0,,,,
0.5,BoneV,503,330,100,2,100,0,,,,
0.5,BoneV,503,330,100,2,100,0,,,,
0.5,BoneV,503,330,100,2,100,0,,,,
3,BlackScreen,1,,,,,,,,,
0,Sound,Flash,,,,,,,,,
0.1,BlackScreen,0,,,,,,,,,
0,Sound,Flash,,,,,,,,,
0,HeartTeleport,320,375,,,,,,,,
0,BoneStab,1,54,0.6,0.4,,,,,,
0,GasterBlaster,1,0,0,320,100,90,0.5,0.1,0.6666,0.03333
0.7,GasterBlaster,1,0,0,260,100,90,0.5,0.1,0.6666,0.03333
0,GasterBlaster,1,0,0,380,100,90,0.5,0.1,0.6666,0.03333
2,BlackScreen,1,,,,,,,,,
0,Sound,Flash,,,,,,,,,
0.1,BlackScreen,0,,,,,,,,,
0,Sound,Flash,,,,,,,,,
0,HeartTeleport,320,375,,,,,,,,
0,BoneStab,1,180,4.8,4,,,,,,
0,Platform,225,187,200,0,0,,,,,
0,Platform,100,325,40,0,150,,,,,
1,Platform,408,290,40,2,150,,,,,
1,Platform,100,265,40,0,150,,,,,
1,Platform,408,225,40,2,150,,,,,
1.2,GasterBlaster,1,0,0,320,100,90,0.5,0.1,0.6666,0.03333
0.8,GasterBlaster,1,0,0,260,100,90,0.5,0.1,0.6666,0.03333
0,GasterBlaster,1,0,0,380,100,90,0.5,0.1,0.6666,0.03333
0.8,GasterBlaster,1,0,0,320,100,90,0.5,0.1,0.6666,0.03333
0.8,GasterBlaster,1,0,0,260,100,90,0.5,0.1,0.6666,0.03333
0,GasterBlaster,1,0,0,380,100,90,0.5,0.1,0.6666,0.03333
3,EndAttack,,,,,,,,,,
